country,year_joined,nation1
Austria,1995,austria
Belgium,1952,belgium
Bulgaria,2007,bulgaria
Croatia,2013,croatia
Cyprus,2004,cyprus
Czech Republic,2004,czech republic
Denmark,1973,denmark
Estonia,2004,estonia
Finland,1995,finland
France,1952,france
GERMANY-WEST,1952,GERMANY-WEST
Greece,1981,greece
Hungary,2004,hungary
Ireland,1973,ireland
Italy,1952,italy
Latvia,2004,latvia
Lithuania,2004,lithuania
Luxembourg,1952,luxembourg
Malta,2004,malta
Netherlands,1952,netherlands
Poland,2004,poland
Portugal,1986,portugal
Romania,2007,romania
Slovakia,2004,slovakia
Slovenia,2004,slovenia
Sweden,1995,sweden
United Kingdom,1973,GREAT BRITAIN
,1975,NORTHERN IRELAND
Spain,1986,spain
,1990,GERMANY-EAST
